IDETOR,IDEAPO
19071913Z,34901062B
19073221B,38071083B
19073672W,03585785Q
19074710M,38122165X
19075806C,83483997T
19076379H,18658883H
19076452E,83324764L
19077096E,24818585K
19078393P,73429206G
19078906S,68047341R
19079046V,95710351Z
19083679G,13775830A
19083727Y,07717469A
19083967Q,52570922Y
19085082G,09132002J
19085649L,96206237C
19085949C,48301384G
19087436N,10152428K
19087715S,42926823Z
19088844V,60984351N
19088953B,05928114W
19089654E,92767426P
19094325R,07910962C
19094837F,11154278Z
19095590R,00797721N
19095808N,66418989A
19096202S,59458720V
19097586L,52829017H
19098104P,29983826Z
19100357F,08710237E
19100943H,84204731Y
19101967F,76468178D
19103966M,58303456C
19105204R,55395164D
19105661K,67147042Z
19107148J,09266884T
19107149Z,43631315Q
19107168X,76595747C
19107770Z,37611657X
19108529Z,58998248M
19108823D,89418737G
19110628C,45313762J
19110748W,70467148R
19110906E,67247334A
19112028V,62741532Q
19113056X,54828647M
19115050A,52673758D
19115422F,14207327C
19115584P,22721819G
19115911J,34254208D
19116217C,05884406V
19116832Z,70251383E
19118968B,81036932C
19119224Z,88511191S
19119308Y,90653769M
19120228Y,22253556K
19123932F,54481430L
19123977Y,11980806Z
19124016E,68244253X
19124271R,93922086E
19124637E,36817529A
19125275Q,14359602N
19125762C,20598876F
19126732R,87865184D
19127664J,76795135K
19131777D,02534755V
19132019K,46524899Q
19132261X,29340063K
19132695F,21877080D
19134168P,23981703V
19137858H,03798608C
19138384S,57525034X
19138388L,91047100J
19138780C,11394456A
19140878W,78949431E
19142134Q,09600068Y
19142141T,42121994R
19142193Y,62991289Q
19142444G,81821504Q
19144768M,81338876C
19145797E,41736936D
19145885H,45464186V
19147746Q,51977091N
19151408K,36179141A
19152476P,28153235Q
19152641N,14159823B
19153169B,00090510M
19154365B,67854792P
19155401N,68552563M
19156120H,63785789G
19157487M,32187850V
19159367E,91430668X
19159775Q,75055666L
19161274C,79764652P
19161311B,38449055R
19161527C,32608689W
19161864N,82070199N
19163261Y,14725827P
19163907P,74299883Q
19166086W,94384180T
19166406T,71333703P
19166509B,17718373R
19169007W,24548748C
19169082P,79830870D
19169797X,49768900M
19171132B,53160002X
19171426Y,78467561W
19171879E,79920517W
19173439H,26182691C
19173602C,16509635M
19173645V,26091607Q
19174063K,27370625G
19175099E,25079498E
19175767T,59860690Q
19176939E,34350981K
19178575W,31173977F
19179466L,42771563G
19180129S,97224360W
19180719F,63898927M
19182413E,92879391D
19183609E,97834330N
19185376H,36222428G
19185496T,28752119A
19186286P,40236799R
19187775W,73870933Q
19187834S,34349322H
19188650A,51193518A
19189684W,76360609B
19190803V,13480108S
19190847S,91529332G
19193480A,66526319S
19194067S,59062005Y
19195855D,57370784K
19196838A,18848420N
19196992L,55377771G
19197425S,77528245Y
19199714G,96831410F
19199846K,44214838Y
19200872N,81107639W
19200976R,00171056M
19201978Z,83227522K
19203923G,31197482Y
19204358W,85647576S
19204571P,22225628S
19206395S,14092153F
19207278R,07431805E
19207706S,43875739L
19208232N,71159896N
19208517K,68701653D
19209101F,30014959M
19209162E,61080397X
19210809J,55416305J
19211535A,78846866Z
19213644L,30274412H
19213749D,46001197R
19213951G,49728622T
19215110J,94344793N
19216486D,98514553X
19217376W,12936847Z
19217915N,57973816Q
19218855D,87848714F
19219997R,90330387A
19220686T,61131505N
19222408C,19583382D
19222525E,81040067G
19225578Q,32251543T
19225861T,44721291E
19226169D,37276063D
19226429Q,83596490T
19226483R,69348061W
19226868H,92823325V
19227146C,41245089V
19229273P,68955801F
19231376H,40567561T
19231991N,75576466F
19234343H,03064907L
19235204M,10315686W
19235219C,94661806Q
19235610C,29594084F
19236498B,70618032M
19236756Q,47404733P
19237449L,36465540Y
19237520K,06125742Z
19237674Z,71574982V
19239287V,66483254Y
19239881J,85329574B
19240897V,10066491N
19241991F,26399998T
19243738Y,10543707R
19244730D,83764338V
19246723R,51327617N
19248109F,85899434T
19248307K,74304131D
19248333R,21404980F
19249387C,90390908B
19249805R,39752223N
19250623Z,39413521P
19251052Y,15605262S
19252471E,79263193H
19253949M,17096252F
19255109S,93960048B
19255793D,51288959V
19257576K,35805544H
19258527Y,40466274M
19259193M,22263501F
19259300C,85079627M
19260604J,97717817V
19263100W,19300884C
19263638B,12081619H
19263664Z,97715087R
19265704F,40968478G
19266037H,04228512P
19271185Z,69774641R
19273014A,63629577P
19273052H,95573692K
19273647S,60316725F
19273714J,00297363L
19274205K,12318952Z
19275502F,51265179L
19276049W,37930213Q
19278845S,77904917F
19279188J,74409014N
19280984S,22626228R
19282148Y,91924059M
19282483L,00649178A
19283218H,35671145P
19283979C,03076173S
19286983B,20960651S
19287769S,19237341A
19290707D,34886111X
19291125J,92502990A
19291212P,00197064T
19291814N,47511381M
19292070S,60931791F
19292285T,18677376L
19292387X,51168389J
19292983P,87573296Z
19293423B,26098922V
19293989W,13058347M
19296004Q,72605659H
19296262K,40694456G
19297158C,86009980P
19298476G,00768399S
19299336J,98078725D
19300935W,34279024P
19301506K,77720373S
19301699F,52069410D
19303247Z,09014846L
19303396W,27845759G
19303709Q,77932846Z
19304551F,58804303L
19306081L,68414422W
19306709A,26021124M
19307331G,37652578Z
19307502Z,47736403H
19309021S,91506259T
19310001Y,92071452Z
19310547T,58923570P
19311898V,95188967V
19312385K,21210122M
19312494S,00303454S
19313592D,40041525C
19314172Z,89600688W
19315559K,63193513R
19316059S,04213185E
19316480E,44251578S
19316584B,00896041F
19320904F,33174588D
19321000B,79548689S
19321745C,97330832F
19322716W,97467359Y
19323692N,73476742E
19325303J,00372909X
19327717N,62679558G
19327805P,18181154E
19329316R,99271598X
19329495L,14342760Y
19330368H,97802399M
19330426F,78698507M
19330484L,16758093V
19332816M,47225843N
19333132E,38252972Q
19333707E,86887043N
19334092Q,81976894H
19335571T,83791251C
19335955Q,17543804W
19335969F,84807916Q
19336830V,47753802Y
19336986N,89587818N
19337792J,88518122T
19339223H,46208501Y
19340247F,18524924B
19341887Z,14781928N
19342662F,66571190J
19346337W,95525095T
19346562C,98348126B
19346606H,21700206M
19347448D,36232978C
19352167J,32899498E
19352543K,42007868R
19352952Q,24548946B
19354519L,26176709H
19354582J,73039309A
19355713V,67197848J
19356288V,04360603X
19358152H,09163995J
19358798C,45251597V
19361263R,45129818T
19361338F,70920014C
19362238X,44010221C
19362351P,86251123L
19362795S,12180740D
19363144L,58828522L
19363949L,89811543Q
19365633R,00102095K
19365681A,60689411R
19366164A,40035994D
19366907X,79698087M
19367872D,77152480S
19367908E,60039920F
19367977E,71387170T
19368749N,30363648Z
19368942K,94215015T
19369972Q,01482394K
19371043Y,09328493S
19375160Y,45537754P
19376854K,95301403Y
19376947E,63686172T
19377442B,35347763Y
19379484Y,86132946Q
19380750F,84416739T
19381130L,36940643K
19381185M,75836576X
19382137Z,58011682R
19383110K,80054631A
19383403S,80166527G
19384458N,16462898G
19388164S,06700026B
19388525P,19506983Q
19388981G,70727479H
19389195B,15415525M
19392882H,45077215K
19394404E,00505591M
19394919P,86340165M
19395098A,81798742R
19395251H,88695932C
19395770P,28343503M
19395954P,10726552L
19396039R,26085470C
19396159Y,91036459K
19396384R,98224081M
19397495P,02421978D
19398211B,57664997H
19398509X,28789054T
19398662W,52252716M
19398973Z,63930416F
19399344V,28669999Q
19401103M,97574692K
19401657F,94594265A
19402154K,22217308K
19402297A,34103044R
19402583J,62004903P
19402593T,19622269A
19403589F,42126274A
19404643A,31603750W
19406631J,47649483S
19408098P,72054473G
19408289S,13485265C
19408943W,23120234J
19409027V,50887630S
19409506J,77480978G
19410976B,96088190D
19411831S,29758930N
19412658Z,34189356V
19413871P,57050062B
19414454Q,31077622E
19414950Y,32119106C
19416225Q,91485766T
19416235A,44525487V
19416683Z,56424869G
19416748X,89596918G
19417450E,07257121T
19417731G,76103692G
19417821W,15352019W
19418442W,18245469Y
19418662S,80244008K
19419515V,88621651Y
19420786T,68053186G
19422959B,38805594V
19424483V,49804062T
19427044W,75403892W
19427506G,97834813N
19428125W,66036449E
19429287Z,63319671G
19430699T,32833280K
19433147X,63402133B
19433699X,45483672E
19434124K,67619111P
19434283L,73572655W
19436853J,62903728Q
19437173B,91470887W
19437645T,26112742Z
19437770X,24409140E
19438986F,95315729A
19439106N,12874298W
19439166A,11793989A
19440336T,40865275W
19442587C,88185597D
19443063J,59387491L
19445592N,23116721L
19446702H,89778060K
19447213T,10289460L
19447215W,65367631K
19447493G,42497210H
19447809K,52953935T
19450426Q,70170209S
19452275W,99661194D
19452327P,85198962Q
19454943W,59136660A
19455533V,47664773X
19457257Q,07296604S
19459190V,89014425D
19459417Z,68908593H
19459635W,37822856T
19459693Z,57409667B
19459858H,12949423D
19460734C,27270277M
19461163N,77825353T
19461414X,57274949G
19462310D,29352799S
19462563D,46177633G
19464730Z,31399375M
19466223N,72385619L
19468832E,81036038T
19469360K,05030958F
19471917W,33048633W
19471957L,37003497Q
19472334M,29152954V
19473109K,36728200Y
19473180T,82959470B
19473935L,61347076G
19474861W,62405628G
19475534P,97869355P
19476250B,38661026G
19477090T,96288571Z
19477962K,21185401D
19478178F,70273029W
19478451G,86312097C
19479932J,03283586Z
19480989N,77461655R
19485363Q,01221464A
19486077V,33094000J
19486854N,76054594B
19487971W,97111527F
19488009V,03227435Y
19489878T,87148336W
19491504Q,31809063V
19492135A,02409565Q
19493536R,11202901S
19494439F,80631294X
19496017K,27177145T
19500123X,29806419Y
19501456D,56311123Q
19502446X,94076415K
19503544G,88124355Q
19503621N,29145389L
19503739S,32819032X
19504717G,35675027A
19505043P,75211111F
19506034X,20294971R
19507035E,74643211T
19507497R,53882776D
19507602Z,70945320A
19507837L,61789994B
19509794K,79531078E
19510515Y,39813784W
19510680X,30216491B
19510763R,87214307D
19511841K,17990152N
19512039N,93001581T
19512353G,49410502Q
19513465N,83249174F
19514110J,05367907Y
19514784C,56176023H
19515273A,73591431X
19516087N,91712344M
19516812R,27228766D
19518105Y,40475151G
19520677W,21026444M
19521554M,56171653H
19522404G,08555467L
19526118S,57371497K
19526941X,29566982E
19527876W,11394624X
19528282V,78722312M
19528691N,33277591H
19529733L,23787704T
19530737B,34468289Y
19530746C,90994790M
19530868G,95591548Y
19531301T,09954991Q
19533663Q,18286261L
19534604Z,05443616E
19534909C,88951078G
19535159V,84858546T
19535590B,43216627H
19537872Q,15476743C
19539219Y,27626533Z
19539821X,03462617J
19540885Q,17192971B
19541177D,17556599D
19542285J,07831475K
19542304D,89297269E
19543825N,92514685Z
19544910Q,83134224B
19547789C,88255775Z
19548256G,55433678K
19548483R,41343074E
19548894K,33285317Q
19549998K,78936448B
19550572C,19842231Q
19551017M,02979693C
19552539D,54810242T
19552742M,24421084Y
19553186N,52096412D
19554842N,00402360K
19554862D,55066352M
19555273Y,59550709Y
19555407W,46727879K
19556284M,51202710H
19557277D,39663638T
19558361N,62502750C
19558579T,25706256F
19559204G,99071265F
19562824J,56156692F
19563724Q,67532219X
19563977Q,82204907D
19564733J,94047083Z
19565089R,79112311Q
19565139M,73551649H
19565953Z,73036420N
19567283X,42133074H
19567559X,54003647S
19568254S,76135440N
19569273E,89419938D
19569285B,67936618T
19571646A,94667191L
19572325S,07073144T
19573156H,89111103H
19574394Z,57686145Y
19576892M,80485869Z
19577599E,32094681K
19578762N,70430715T
19579742A,42616062Y
19579999F,07831175C
19581226S,09269497Z
19581248Z,41280775F
19581568N,91253935D
19581995W,02937248X
19582073B,87261153G
19582771L,68937277K
19582918M,29776881T
19583015X,91786216R
19583083D,65151032J
19583435Q,50767236A
19583593J,25961562J
19585917Z,44586092V
19587481Z,49453916Y
19587636P,36603672T
19589190K,40339620N
19589322S,18629342D
19590173S,20837632T
19590678Z,21071828X
19591750M,82831218F
19592418Y,85355991R
19593792T,55716235T
19593903L,78609593D
19595385Y,61574459D
19596542J,45946274W
19598140R,00309938J
19598251C,90367712E
19598507T,28785826S
19598637S,87666879X
19599761N,65964172B
19599959A,45624753K
19601001X,37649796S
19601713D,09252734H
19602470F,70128304Q
19602644C,38420350T
19602678P,40605313D
19603616A,63582498X
19605716X,68317891W
19606520D,02664449Z
19606577C,76099650X
19607481G,97640655C
19607590K,78137703X
19608255L,19073937Z
19608758Q,86817048Y
19609497L,06043355J
19609881N,04792254C
19609940W,27545982D
19611483G,38743340R
19613007X,91487155D
19613575A,93906774M
19614174G,71452661X
19616288W,29920012W
19618134P,93938119R
19619116R,76111843J
19620084A,49194204X
19621008F,70935077H
19623541X,70686249G
19623748X,95477027W
19624234J,91292133G
19624772E,72369589C
19628263V,82093805C
19628972J,91364424Y
19630661T,53514225X
19630926N,52720089H
19633815A,25329988L
19634785F,86674782H
19635352E,91396578Y
19635370V,33580193D
19635409X,06238186B
19635787C,83530116G
19637740H,03741205W
19638338H,37285440W
19639157D,50239764J
19639782J,68578087E
19640018L,99887551T
19641778P,93237676T
19642467F,08334064Z
19642499Q,32502403E
19643171K,69692962H
19648321L,81444846Y
19649524A,90312123R
19649864K,22662008Q
19651043G,85530479B
19651181G,42595438J
19652458Q,80882719E
19652830C,08889610H
19653512N,85670832H
19653638T,37055588N
19654861G,08766699L
19656583R,29038484H
19657712A,51229735H
19657844C,46578001B
19659374D,69894987B
19659709E,12629552E
19659792J,71665728M
19662503X,56555950P
19663253R,80311527N
19664671Q,20666859W
19664748R,11165866X
19665940C,79954800S
19665987K,50358916W
19666217K,38758806B
19666345B,10002042D
19668746C,73884625T
19669244N,07223703R
19669744Y,60681399Q
19670644D,55156998P
19670726E,80714544T
19673369C,46705458W
19673520X,90102370P
19673908F,53707306Y
19674188B,75077586C
19674759F,09752279A
19675019Z,96773333M
19675176X,78242332N
19675288F,09796186A
19676461F,07610029L
19676524R,01293940Y
19676567K,52453310Q
19680615K,49309389B
19681010W,99885104Z
19681318B,06594462V
19682934V,67269274R
19683074L,89221830T
19684393G,03616383R
19686229T,71578453S
19687680W,10735962E
19688553R,43960189J
19691206D,11964356D
19694366H,63127573W
19695195L,93533095F
19695964Y,80833279D
19696781H,75524127Q
19696849V,29964977W
19697122Z,13164549Q
19697605Z,29889037P
19698507L,92279056C
19701168N,50794173F
19701726H,93615767V
19702334M,88741841K
19703387T,67609083P
19704367Z,33371260P
19704941J,47534133X
19705303F,12701624N
19705688R,08705876P
19706385P,74943406E
19707040L,93306763H
19707662C,29132380M
19707727Q,01797425K
19710238C,43203169S
19710416Z,65248886W
19710478F,16972046R
19713892V,92814452E
19718017W,85255289Q
19719304R,49734784K
19720526G,34727897J
19720946X,96384547B
19721326E,77428403F
19721956P,21711343X
19722720J,87989357M
19724316E,06156923F
19724648D,64800273G
19724650B,63755544G
19729184Z,07029729D
19730099D,00076513S
19730882X,15553897D
19732113E,66988639N
19732945A,43536240T
19732960H,58034033L
19736233W,21579422V
19736303A,13288008B
19736664L,29884446V
19739536Q,14876448W
19741421S,42422595S
19742335D,25856578R
19743238S,46092263X
19743609H,05257293E
19743705E,21801872B
19744672T,30919366Y
19745818L,64664754R
19746211K,51856665Z
19746343S,34772903P
19747114G,82720423A
19747338K,73392620B
19747569E,38620801Y
19747879X,69891275W
19749042T,48784649Q
19749249T,27180601Y
19749292C,45323800T
19751394Y,31263750B
19752313M,77162077K
19752522F,84364553R
19752938D,02472984R
19753449Z,35184723J
19753627P,02123104C
19754804N,65981871T
19755800L,69041052C
19755837X,85722078C
19756259H,98364926K
19757110H,96676933K
19758815K,89249581J
19759315S,35311304W
19761325R,28550650Z
19761821Z,76577846J
19764040W,14238866A
19766178R,02968778F
19766832B,79240563C
19767876C,67429322S
19769765T,14918493A
19770865L,62438055R
19771390S,60750706R
19772237B,65594179L
19772314L,37072717Y
19772438M,81661998S
19772700Z,78691081P
19772860J,94693796J
19772870T,01831542Y
19773791R,77111737M
19775582K,31761599W
19776549E,02392314S
19777756X,99664402C
19779642X,91328469T
19780186W,56553107V
19780327M,47407823Q
19782784R,56931440T
